time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,287	0,006	0,315
0,1	0,610	0,014	0,315
0,2	1,018	0,998	0,157
0,3	1,369	0,998	0,157
0,4	1,523	-1,009	0,315
0,5	1,435	-1,009	0,315
0,6	1,199	-0,246	0,157
0,7	0,988	0,998	0,000
0,8	0,939	0,998	0,157
0,9	1,056	0,794	0,315
1,0	1,220	0,723	0,315
1,1	1,291	0,817	0,157
1,2	1,233	-1,009	0,315
1,3	1,132	-1,009	0,157
1,4	1,113	-0,080	0,157
1,5	1,204	0,998	0,157
1,6	1,303	0,825	0,315
1,7	1,250	-0,923	0,315
1,8	0,976	-0,946	0,315
1,9	0,573	-0,167	0,157
2,0	0,232	0,006	0,157
2,1	0,099	-0,214	0,315
2,2	0,170	-0,261	0,315
2,3	0,311	0,235	0,157
2,4	0,375	0,109	0,157
2,5	0,311	-0,167	0,157
2,6	0,178	-0,198	0,157
2,7	0,076	-0,009	0,315
2,8	0,052	0,077	0,157
2,9	0,080	-0,017	0,157
3,0	0,100	-0,065	0,157
3,1	0,082	0,014	0,157
3,2	0,041	0,038	0,157
3,3	0,015	-0,017	0,157
3,4	0,020	-0,033	0,157
3,5	0,042	-0,033	0,157
3,6	0,057	-0,009	0,157
3,7	0,053	0,030	0,157
3,8	0,039	0,030	0,157
3,9	0,033	-0,017	0,157
4,0	0,039	-0,049	0,157
4,1	0,048	-0,025	0,157
4,2	0,049	0,014	0,157
4,3	0,042	0,030	0,157
4,4	0,033	0,030	0,157
4,5	0,031	-0,002	0,157
4,6	0,033	-0,033	0,157
4,7	0,034	-0,025	0,157
4,8	0,028	-0,009	0,157
4,9	0,020	0,006	0,157
5,0	0,016	0,014	0,157
5,1	0,020	0,022	0,315
5,2	0,031	0,006	0,315
5,3	0,039	-0,025	0,315
5,4	0,040	-0,033	0,315
5,5	0,033	-0,002	0,157
5,6	0,024	0,022	0,157
5,7	0,017	0,014	0,157
5,8	0,016	-0,009	0,157
5,9	0,018	-0,009	0,157
6,0	0,020	0,006	1,260
6,1	0,022	0,014	3,780
6,2	0,024	-0,002	5,827
6,3	0,027	-0,033	7,244
6,4	0,033	-0,017	8,189
6,5	0,041	0,022	8,661
6,6	0,047	0,038	8,976
6,7	0,049	-0,009	9,134
6,8	0,044	-0,049	9,134
6,9	0,036	-0,017	9,291
7,0	0,031	0,014	9,291
7,1	0,035	0,030	9,291
7,2	0,047	0,038	9,449
7,3	0,061	-0,002	9,449
7,4	0,071	-0,065	9,449
7,5	0,072	-0,057	9,449
7,6	0,067	0,014	9,449
7,7	0,064	0,061	9,449
7,8	0,065	0,046	9,606
7,9	0,069	-0,017	9,449
8,0	0,069	-0,065	9,449
8,1	0,059	-0,041	9,606
8,2	0,042	0,014	9,606
8,3	0,026	0,030	9,449
8,4	0,020	0,014	9,606
8,5	0,026	0,014	9,606
8,6	0,038	0,006	9,606
8,7	0,045	-0,033	9,764
8,8	0,042	-0,041	9,764
8,9	0,030	-0,009	9,764
9,0	0,016	0,014	9,764
9,1	0,008	-0,002	9,764
9,2	0,007	0,006	9,764
9,3	0,012	0,014	9,764
9,4	0,020	0,006	9,764
9,5	0,027	-0,009	9,764
9,6	0,035	-0,025	9,764
9,7	0,043	-0,041	9,921
9,8	0,048	-0,009	9,921
9,9	0,047	0,046	9,921
10,0	0,039	0,022	9,921
10,1	0,028	-0,017	9,921
10,2	0,019	-0,009	9,921
10,3	0,016	-0,002	9,921
10,4	0,020	-0,025	9,921
10,5	0,026	-0,025	10,079
10,6	0,031	0,014	9,921
10,7	0,032	0,022	9,921
10,8	0,028	-0,002	9,921
10,9	0,022	-0,025	10,079
11,0	0,017	-0,017	10,079
11,1	0,016	-0,002	10,079
11,2	0,019	0,014	10,079
11,3	0,026	0,014	10,079
11,4	0,031	-0,017	10,236
11,5	0,031	-0,033	10,236
11,6	0,024	-0,002	10,236
11,7	0,015	0,014	10,236
11,8	0,010	-0,002	10,236
11,9	0,012	0,006	10,236
12,0	0,021	0,014	10,236
12,1	0,029	-0,009	10,236
12,2	0,031	-0,033	10,236
12,3	0,027	-0,017	10,394
12,4	0,021	0,006	10,394
12,5	0,018	0,006	10,394
12,6	0,020	0,022	10,394
12,7	0,023	0,014	10,394
12,8	0,023	-0,009	10,394
12,9	0,019	-0,017	10,551
13,0	0,016	-0,009	10,394
13,1	0,017	-0,017	10,394
13,2	0,025	-0,009	10,394
13,3	0,034	0,030	10,394
13,4	0,041	0,030	10,551
13,5	0,041	-0,009	10,551
13,6	0,035	-0,033	10,551
13,7	0,029	-0,025	10,551
13,8	0,025	-0,009	10,551
13,9	0,024	0,014	10,551
14,0	0,023	0,022	10,551
14,1	0,019	-0,002	10,709
14,2	0,013	-0,009	10,551
14,3	0,008	-0,009	10,551
14,4	0,007	-0,002	10,709
14,5	0,010	-0,009	10,709
14,6	0,017	0,014	10,709
14,7	0,022	0,006	10,709
14,8	0,026	-0,025	10,709
14,9	0,026	-0,009	10,709
15,0	0,025	0,022	10,866
15,1	0,021	0,006	10,866
15,2	0,017	-0,017	10,866
15,3	0,012	-0,002	10,866
15,4	0,007	0,006	10,866
15,5	0,004	-0,002	10,866
15,6	0,003	-0,002	10,866
15,7	0,004	0,006	10,866
15,8	0,005	-0,002	10,866
15,9	0,007	-0,002	11,024
16,0	0,009	-0,009	11,024
16,1	0,013	-0,002	11,024
16,2	0,019	0,014	11,024
16,3	0,024	0,022	11,024
16,4	0,028	-0,002	11,024
16,5	0,026	-0,025	11,024
16,6	0,022	-0,009	11,024
16,7	0,015	0,014	11,024
16,8	0,010	-0,002	11,024
16,9	0,008	-0,002	11,024
17,0	0,009	0,006	11,181
17,1	0,011	-0,002	11,181
17,2	0,012	-0,009	11,181
17,3	0,010	-0,009	11,181
17,4	0,008	0,006	11,339
17,5	0,005	-0,002	11,181
17,6	0,004	-0,002	11,181
17,7	0,004	0,006	11,339
17,8	0,006	-0,002	11,339
17,9	0,008	-0,002	11,339
18,0	0,010	0,006	11,339
18,1	0,010	-0,002	11,339
18,2	0,010	-0,009	11,339
18,3	0,009	-0,009	11,339
18,4	0,008	-0,002	11,496
18,5	0,009	0,006	11,339
18,6	0,010	0,006	11,496
18,7	0,011	-0,002	11,339
18,8	0,011	-0,009	11,496
18,9	0,009	-0,009	11,496
19,0	0,006	-0,002	11,496
19,1	0,003	-0,002	11,496
19,2	0,001	-0,002	11,496
19,3	0,001	-0,002	11,496
19,4	0,003	-0,002	11,496
19,5	0,006	-0,002	11,654
19,6	0,008	-0,009	11,654
19,7	0,010	-0,002	11,654
19,8	0,009	0,006	11,654
19,9	0,007	0,006	11,654
20,0	0,005	-0,002	11,654
20,1	0,004	-0,002	11,811
20,2	0,004	-0,002	11,654
20,3	0,005	-0,002	11,654
20,4	0,007	0,006	11,654
20,5	0,008	-0,002	11,654
20,6	0,009	-0,009	11,811
20,7	0,010	0,006	11,811
20,8	0,010	0,006	11,811
20,9	0,011	0,006	11,811
21,0	0,011	-0,009	11,811
21,1	0,010	-0,002	11,969
21,2	0,010	0,006	11,969
21,3	0,009	-0,002	11,969
21,4	0,009	-0,009	11,969
21,5	0,010	-0,002	11,969
21,6	0,011	0,006	11,969
21,7	0,011	-0,009	11,969
21,8	0,011	-0,009	11,969
21,9	0,011	0,006	11,969
22,0	0,010	0,006	11,969
22,1	0,009	-0,002	11,969
22,2	0,009	-0,009	12,126
22,3	0,009	-0,002	12,126
22,4	0,010	0,006	12,126
22,5	0,011	-0,002	12,283
22,6	0,011	-0,009	12,126
22,7	0,010	-0,009	12,126
22,8	0,009	0,006	12,126
22,9	0,008	-0,002	12,126
23,0	0,008	-0,009	12,126
23,1	0,008	-0,002	12,283
23,2	0,008	-0,002	12,283
23,3	0,007	-0,009	12,283
23,4	0,005	-0,002	12,283
23,5	0,003	-0,002	12,283
23,6	0,002	-0,002	12,283
23,7	0,002	-0,002	12,441
23,8	0,003	-0,002	12,441
23,9	0,003	-0,002	12,441
24,0	0,003	-0,002	12,441
24,1	0,002	-0,002	12,441
24,2	0,002	-0,002	12,441
24,3	0,003	-0,002	12,441
24,4	0,005	-0,002	12,441
24,5	0,007	0,006	12,441
24,6	0,008	-0,002	12,598
24,7	0,009	-0,009	12,598
24,8	0,009	-0,002	12,598
24,9	0,010	0,006	12,598
25,0	0,010	-0,009	12,598
25,1	0,010	-0,009	12,598
25,2	0,010	0,006	12,598
25,3	0,009	-0,002	12,598
25,4	0,009	-0,009	12,598
25,5	0,008	-0,002	12,598
25,6	0,006	0,006	12,756
25,7	0,005	-0,002	12,756
25,8	0,003	-0,002	12,756
25,9	0,002	-0,002	12,756
26,0	0,003	-0,002	12,756
26,1	0,006	0,006	12,756
26,2	0,009	-0,002	12,756
26,3	0,010	-0,009	12,756
26,4	0,008	-0,002	12,756
26,5	0,004	-0,002	12,756
26,6	0,001	-0,002	12,756
26,7	0,001	-0,002	12,913
26,8	0,005	-0,002	12,913
26,9	0,010	0,006	12,913
27,0	0,011	-0,002	12,913
27,1	0,008	-0,002	12,913
27,2	0,004	0,006	12,913
27,3	0,003	0,006	13,071
27,4	0,007	-0,002	12,913
27,5	0,012	-0,002	12,913
27,6	0,013	-0,002	13,071
27,7	0,007	-0,009	12,913
27,8	0,001	-0,002	13,071
27,9	0,003	-0,002	13,071
28,0	0,003	-0,002	13,071
28,1	0,012	-0,002	13,071
28,2	0,013	-0,002	13,228
28,3	0,003	-0,002	13,228
28,4	0,008	-0,002	13,228
28,5	0,007	-0,002	13,228
28,6	0,009	0,006	13,228
28,7	0,027	-0,002	13,228
28,8	0,024	-0,002	13,228
28,9	0,006	-0,002	13,228
29,0	0,034	-0,002	13,228
29,1	0,008	-0,009	13,386
29,2	0,118	-0,088	13,386
29,3	0,349	-0,120	13,386
29,4	0,640	0,416	13,386
29,5	0,914	0,880	13,228
29,6	1,107	-0,553	13,386
29,7	1,201	-1,009	13,543
29,8	1,228	-0,513	13,543
29,9	1,244	0,998	13,386
30,0	1,290	0,998	13,386
30,1	1,358	-1,009	13,543
30,2	1,400	-1,009	13,543
30,3	1,354	-0,561	13,543
30,4	1,195	0,998	13,386
30,5	0,960	0,998	13,543
30,6	0,736	0,313	13,701
30,7	0,610	0,172	13,543
30,8	0,615	-0,167	13,543
30,9	0,708	-0,750	13,701
31,0	0,801	-0,608	13,701
31,1	0,819	0,219	13,701
31,2	0,740	0,683	13,701
31,3	0,600	0,384	13,543
31,4	0,455	-0,159	13,701
31,5	0,342	-0,356	13,701
31,6	0,262	-0,183	13,701
31,7	0,198	0,046	13,701
31,8	0,141	0,116	13,701
31,9	0,096	0,085	13,701
32,0	0,074	0,046	13,858
32,1	0,076	-0,025	13,858
32,2	0,087	-0,080	13,858
32,3	0,089	-0,057	13,858
32,4	0,075	0,030	13,858
32,5	0,053	0,054	13,858
32,6	0,034	0,014	13,858
32,7	0,025	-0,009	13,858
32,8	0,025	-0,025	13,858
32,9	0,027	-0,017	14,016
33,0	0,026	0,006	14,016
33,1	0,023	0,022	14,016
33,2	0,022	0,014	14,016
33,3	0,024	-0,017	14,016
33,4	0,027	-0,025	14,016
33,5	0,028	-0,002	14,016
33,6	0,026	0,022	14,173
33,7	0,021	0,006	14,016
33,8	0,018	-0,017	14,016
33,9	0,017	-0,017	14,173
34,0	0,018	-0,002	14,173
34,1	0,019	0,014	14,173
34,2	0,020	0,006	14,173
34,3	0,019	-0,017	14,173
34,4	0,016	-0,017	14,173
34,5	0,013	-0,002	14,331
34,6	0,010	0,006	14,331
34,7	0,010	0,006	14,331
34,8	0,010	0,006	14,331
34,9	0,011	-0,009	14,331
35,0	0,012	-0,009	14,331
35,1	0,011	-0,009	14,331
35,2	0,010	-0,002	14,331
35,3	0,011	0,006	14,331
35,4	0,013	0,014	14,488
35,5	0,014	-0,002	14,488
35,6	0,015	-0,009	14,488
35,7	0,013	-0,009	14,488
35,8	0,009	-0,009	14,488
35,9	0,007	-0,002	14,488
36,0	0,007	0,006	14,488
36,1	0,008	0,006	14,488
36,2	0,009	-0,002	14,488
36,3	0,010	-0,002	14,646
36,4	0,009	-0,009	14,646
36,5	0,008	-0,009	14,646
36,6	0,009	-0,002	14,646
36,7	0,012	0,006	14,646
36,8	0,014	0,014	14,646
36,9	0,015	-0,002	14,646
37,0	0,014	-0,009	14,803
37,1	0,011	-0,009	14,646
37,2	0,008	-0,009	14,803
37,3	0,007	-0,002	14,646
37,4	0,009	0,006	14,646
37,5	0,012	0,006	14,803
37,6	0,015	-0,009	14,803
37,7	0,015	-0,017	14,803
37,8	0,012	-0,002	14,803
37,9	0,009	-0,002	14,803
38,0	0,006	0,006	14,961
38,1	0,005	0,006	14,961
38,2	0,006	-0,002	14,961
38,3	0,007	-0,002	14,961
38,4	0,008	-0,002	14,961
38,5	0,009	-0,009	14,961
38,6	0,008	-0,009	14,961
38,7	0,008	-0,002	14,961
38,8	0,009	0,006	14,961
38,9	0,010	0,006	14,961
39,0	0,011	0,006	14,961
39,1	0,011	-0,009	14,961
39,2	0,009	-0,009	15,118
39,3	0,007	-0,002	15,118
39,4	0,006	-0,002	15,118
39,5	0,007	-0,009	15,118
39,6	0,009	0,006	15,118
39,7	0,010	0,006	15,118
39,8	0,010	-0,002	15,118
39,9	0,008	-0,009	15,118
40,0	0,005	-0,002	15,276
40,1	0,003	-0,002	15,276
40,2	0,002	-0,002	15,276
40,3	0,002	-0,002	15,276
40,4	0,003	-0,002	15,276
40,5	0,003	-0,002	15,433
40,6	0,002	-0,002	15,276
40,7	0,001	-0,002	15,276
40,8	0,002	-0,002	15,433
40,9	0,003	-0,002	15,276
41,0	0,006	-0,002	15,276
41,1	0,009	-0,009	15,433
41,2	0,011	-0,009	15,433
41,3	0,013	-0,002	15,433
41,4	0,013	0,014	15,433
41,5	0,013	0,006	15,433
41,6	0,014	-0,002	15,433
41,7	0,015	-0,009	15,591
41,8	0,017	-0,017	15,591
41,9	0,018	-0,017	15,591
42,0	0,017	-0,002	15,591
42,1	0,016	0,006	15,591
42,2	0,014	0,014	15,591
42,3	0,013	0,006	15,591
42,4	0,012	-0,009	15,591
