# I=2.4A U=5.9V
#U/V I/mA
0   0.000
2   0.004
4   0.016
6   0.033
8   0.067
10  0.088
12  0.122
14  0.150
16  0.180
18  0.217
20  0.250
22  0.290
24  0.332
26  0.366
28  0.407
30  0.453
32  0.499
34  0.545
36  0.585
38  0.625
40  0.660
42  0.699
44  0.735
46  0.768
48  0.808
50  0.852
52  0.891
54  0.921
56  0.959
58  0.983
60  1.013
70  1.165
80  1.274
90  1.341
100 1.406
110 1.438
120 1.463
130 1.481
140 1.491
150 1.501
160 1.507
170 1.514
180 1.520
190 1.524
200 1.530
210 1.534
220 1.538
230 1.542
240 1.545
250 1.550
