#U, N, I
#300 0 0.1
310 12111 0.1
320 12575 0.2
330 12674 0.2
340 12504 0.2
350 12753 0.2
360 12838 0.2
370 12961 0.2
380 12936 0.3
390 12794 0.3
400 13076 0.3
410 13155 0.3
420 13085 0.4
430 12954 0.4
440 13184 0.4
450 13193 0.5
460 13160 0.5
470 13011 0.5
480 13205 0.6
490 13022 0.6
500 13303 0.6
510 13076 0.6
520 13363 0.6
530 13336 0.7
540 13225 0.7
550 13318 0.8
560 13376 0.8
570 13200 0.8
580 13514 0.8
590 13438 0.8
600 13363 0.9
610 13288 0.9
620 13446 1
630 13495 1
640 13562 1
650 13917 1
660 13709 1
670 13721 1.1
680 13918 1.1
690 13663 1.2
700 14302 1.3
